READING_DATE,1st Fl HVAC Admin-Total kWh,1st Fl HVAC R&D-Total kWh,2nd Fl HVAC Exec-Total kWh,2nd Fl HVAC Forge-Total kWh
23/12/2011 1:40,0,0.1,0.1,0
23/12/2011 1:45,0,0.1,0.1,0
23/12/2011 1:50,0,0.1,0.1,0
23/12/2011 1:55,0.1,0.1,0.1,0
23/12/2011 2:00,0.1,0,0.1,0
23/12/2011 2:05,0.1,0.1,0.1,0
23/12/2011 2:10,0,0.1,0.1,0
23/12/2011 2:15,0,0.1,0,0
23/12/2011 2:20,0,0.1,0.1,0.1
23/12/2011 2:25,0,0.1,0.1,0
23/12/2011 2:30,0.1,0,0.1,0
23/12/2011 2:35,0.1,0.1,0.1,0
23/12/2011 2:40,0,0.1,0.1,0
23/12/2011 2:45,0,0.1,0.1,0
23/12/2011 2:50,0,0.1,0.1,0
23/12/2011 2:55,0.1,0.1,0.1,0
23/12/2011 3:00,0.1,0.1,0.1,0
23/12/2011 3:05,0,0,0,0
23/12/2011 3:10,0,0.1,0.1,0
23/12/2011 3:15,0.1,0.1,0.1,0
23/12/2011 3:20,0,0.1,0.1,0.1
23/12/2011 3:25,0.1,0.1,0.1,0
23/12/2011 3:30,0,0.1,0.1,0
23/12/2011 3:35,0,0.1,0.1,0
23/12/2011 3:40,0.1,0,0.1,0
23/12/2011 3:45,0,0.1,0.1,0
23/12/2011 3:50,0.1,0.1,0.1,0
23/12/2011 3:55,0,0.1,0.1,0
23/12/2011 4:00,0.1,0.1,0,0
23/12/2011 4:05,0,0.1,0.1,0
23/12/2011 4:10,0.1,0,0.1,0
23/12/2011 4:15,0,0.1,0.1,0.1
23/12/2011 4:20,0,0.1,0.1,0
23/12/2011 4:25,0.1,0.1,0.1,0
23/12/2011 4:30,0,0.1,0.1,0
23/12/2011 4:35,0.1,0.1,0.1,0
23/12/2011 4:40,0,0.1,0.1,0
23/12/2011 4:45,0,0,0.1,0
23/12/2011 4:50,0.1,0.1,0,0
23/12/2011 4:55,0.1,0.1,0.1,0
23/12/2011 5:00,0.1,0.1,0.1,0
23/12/2011 5:05,0.1,0.1,0.1,0
23/12/2011 5:10,0.1,0.1,0.1,0
23/12/2011 5:15,0.1,0.1,0.1,0.1
23/12/2011 5:20,0.1,0,0.1,0
23/12/2011 5:25,0,0.1,0.1,0
23/12/2011 5:30,0.1,0.1,0.1,0
23/12/2011 5:35,0.1,0.1,0.1,0
23/12/2011 5:40,0.1,0.1,0,0
23/12/2011 5:45,0,0.1,0.1,0
23/12/2011 5:50,0,0.1,0.1,0
23/12/2011 5:55,0.1,0,0.1,0
23/12/2011 6:00,0.1,0.1,0.1,0
23/12/2011 6:05,0,0.1,0.1,0
23/12/2011 6:10,0.1,0.1,0.1,0
23/12/2011 6:15,0.1,0.1,0.1,0.1
23/12/2011 6:20,0.1,0.1,0.1,0.1
23/12/2011 6:25,0,0,0.1,0.1
23/12/2011 6:30,0,0.1,0.1,0.1
23/12/2011 6:35,0.1,0.1,0.1,0
23/12/2011 6:40,0.1,0.1,0,0
23/12/2011 6:45,0,0.1,0.1,0
23/12/2011 6:50,0.1,0.1,0.1,0.1
23/12/2011 6:55,0.1,0,0.1,0.1
23/12/2011 7:00,0,0.1,0.1,0
23/12/2011 7:05,0,0.1,0.1,0.1
23/12/2011 7:10,0.1,0.1,0.1,0
23/12/2011 7:15,0.1,0.1,0.1,0.1
23/12/2011 7:20,0,0.1,0.1,0
23/12/2011 7:25,0,0.1,0.1,0
23/12/2011 7:30,0.1,0,0.1,0
23/12/2011 7:35,0.1,0.1,0,0.1
23/12/2011 7:40,0,0.1,0.1,0
23/12/2011 7:45,0,0.1,0.1,0
23/12/2011 7:50,0.1,0.1,0.1,0
23/12/2011 7:55,0.1,0.1,0.1,0.1
23/12/2011 8:00,0,0,0.1,0
23/12/2011 8:05,0,0.1,0.1,0
23/12/2011 8:10,0.1,0.1,0.1,0.1
23/12/2011 8:15,0.1,0.1,0.1,0
23/12/2011 8:20,0,0.1,0.1,0
23/12/2011 8:25,0,0.1,0.1,0
23/12/2011 8:30,0.1,0.1,0,0
23/12/2011 8:35,0.1,0,0.1,0.1
23/12/2011 8:40,0,0.1,0.1,0.1
23/12/2011 8:45,0,0.1,0.1,0
23/12/2011 8:50,0,0.1,0.1,0
23/12/2011 8:55,0.1,0.1,0.1,0
23/12/2011 9:00,0,0.1,0.1,0
23/12/2011 9:05,0,0,0.1,0
23/12/2011 9:10,0.1,0.1,0.1,0
23/12/2011 9:15,0,0.1,0.1,0.1
23/12/2011 9:20,0.1,0.1,0.1,0
23/12/2011 9:25,0,0.1,0,0.1
23/12/2011 9:30,0,0.1,0.1,0
23/12/2011 9:35,0,0.1,0.1,0
23/12/2011 9:40,0,0,0.1,0
23/12/2011 9:45,0.1,0.1,0.1,0
23/12/2011 9:50,0,0.1,0.1,0
23/12/2011 9:55,0,0.1,0.1,0
23/12/2011 10:00,0,0.1,0.1,0.1
23/12/2011 10:05,0.1,0.1,0.1,0
23/12/2011 10:10,0,0,0.1,0
23/12/2011 10:15,0,0.1,0.1,0
23/12/2011 10:20,0.1,0.1,0,0
23/12/2011 10:25,0,0.1,0.1,0
23/12/2011 10:30,0,0.1,0.1,0
23/12/2011 10:35,0,0.1,0.1,0
23/12/2011 10:40,0,0,0.1,0
23/12/2011 10:45,0,0.1,0.1,0
23/12/2011 10:50,0,0.1,0.1,0
23/12/2011 10:55,0,0.1,0.1,0
23/12/2011 11:00,0.1,0.1,0.1,0.1
23/12/2011 11:05,0,0.1,0.1,0
23/12/2011 11:10,0,0.1,0,0
23/12/2011 11:15,0,0,0.1,0
23/12/2011 11:20,0,0.1,0.1,0
23/12/2011 11:25,0.1,0.1,0.1,0
23/12/2011 11:30,0,0.1,0.1,0
23/12/2011 11:35,0,0.1,0.1,0
23/12/2011 11:40,0,0.1,0.1,0
23/12/2011 11:45,0,0,0.1,0
23/12/2011 11:50,0,0.1,0.1,0
23/12/2011 11:55,0,0.1,0.1,0.1
23/12/2011 12:00,0.1,0.1,0.1,0
23/12/2011 12:05,0,0.1,0,0
23/12/2011 12:10,0,0.1,0.1,0
23/12/2011 12:15,0,0.1,0.1,0
23/12/2011 12:20,0,0,0.1,0
23/12/2011 12:25,0,0.1,0.1,0
23/12/2011 12:30,0,0.1,0.1,0
23/12/2011 12:35,0,0.1,0.1,0
23/12/2011 12:40,0,0.1,0.1,0
23/12/2011 12:45,0,0.1,0.1,0
23/12/2011 12:50,0.1,0.1,0.1,0
23/12/2011 12:55,0,0,0.1,0.1
23/12/2011 13:00,0,0.1,0,0
23/12/2011 13:05,0,0.1,0.1,0
23/12/2011 13:10,0,0.1,0.1,0
23/12/2011 13:15,0,0.1,0.1,0
23/12/2011 13:20,0,0.1,0.1,0
23/12/2011 13:25,0,0,0.1,0
23/12/2011 13:30,0,0.1,0.1,0
23/12/2011 13:35,0.1,0.1,0.1,0
23/12/2011 13:40,0,0.1,0.1,0
23/12/2011 13:45,0,0.1,0.1,0
23/12/2011 13:50,0,0.1,0,0
23/12/2011 13:55,0,0,0.1,0.1
23/12/2011 14:00,0,0.1,0.1,0
23/12/2011 14:05,0,0.1,0.1,0
23/12/2011 14:10,0,0.1,0.1,0
23/12/2011 14:15,0,0.1,0.1,0
23/12/2011 14:20,0,0.1,0.1,0
23/12/2011 14:25,0.1,0.1,0.1,0
23/12/2011 14:30,0,0,0.1,0
23/12/2011 14:35,0,0.1,0.1,0
23/12/2011 14:40,0,0.1,0,0
23/12/2011 14:45,0,0.1,0.1,0
23/12/2011 14:50,0,0.1,0.1,0.1
23/12/2011 14:55,0,0.1,0.1,0
23/12/2011 15:00,0,0.1,0.1,0
23/12/2011 15:05,0,0,0.1,0
23/12/2011 15:10,0,0.1,0.1,0
23/12/2011 15:15,0.1,0.1,0.1,0
23/12/2011 15:20,0,0.1,0.1,0
23/12/2011 15:25,0,0.1,0.1,0
23/12/2011 15:30,0,0.1,0,0
23/12/2011 15:35,0,0.1,0.1,0
23/12/2011 15:40,0,0,0.1,0
23/12/2011 15:45,0,0.1,0.1,0
23/12/2011 15:50,0,0.1,0.1,0.1
23/12/2011 15:55,0,0.1,0.1,0
23/12/2011 16:00,0.1,0.1,0.1,0
23/12/2011 16:05,0,0.1,0.1,0
23/12/2011 16:10,0,0,0.1,0
23/12/2011 16:15,0,0.1,0.1,0
23/12/2011 16:20,0,0.1,0.1,0
23/12/2011 16:25,0,0.1,0,0
23/12/2011 16:30,0,0.1,0.1,0
23/12/2011 16:35,0,0.1,0.1,0
23/12/2011 16:40,0,0.1,0.1,0
23/12/2011 16:45,0,0,0.1,0
23/12/2011 16:50,0.1,0.1,0.1,0.1
23/12/2011 16:55,0,0.1,0.1,0
23/12/2011 17:00,0,0.1,0.1,0
23/12/2011 17:05,0,0.1,0.1,0
23/12/2011 17:10,0,0.1,0.1,0
23/12/2011 17:15,0,0,0,0
23/12/2011 17:20,0,0.1,0.1,0
23/12/2011 17:25,0,0.1,0.1,0
23/12/2011 17:30,0,0.1,0.1,0
23/12/2011 17:35,0.1,0.1,0.1,0
23/12/2011 17:40,0,0.1,0.1,0
23/12/2011 17:45,0,0.1,0.1,0.1
23/12/2011 17:50,0,0,0.1,0
23/12/2011 17:55,0,0.1,0.1,0
23/12/2011 18:00,0,0.1,0,0
23/12/2011 18:05,0,0.1,0.1,0
23/12/2011 18:10,0,0.1,0.1,0
23/12/2011 18:15,0,0.1,0.1,0
23/12/2011 18:20,0,0,0.1,0
23/12/2011 18:25,0.1,0.1,0.1,0
23/12/2011 18:30,0,0.1,0.1,0
23/12/2011 18:35,0,0.1,0.1,0
23/12/2011 18:40,0,0.1,0.1,0
23/12/2011 18:45,0,0.1,0.1,0.1
23/12/2011 18:50,0,0.1,0.1,0
23/12/2011 18:55,0,0,0,0
23/12/2011 19:00,0,0.1,0.1,0
23/12/2011 19:05,0.1,0.1,0.1,0
23/12/2011 19:10,0.1,0.1,0.1,0
23/12/2011 19:15,0.1,0.1,0.1,0
23/12/2011 19:20,0,0.1,0.1,0
23/12/2011 19:25,0,0.1,0.1,0
23/12/2011 19:30,0,0.1,0.1,0
23/12/2011 19:35,0.1,0,0.1,0
23/12/2011 19:40,0,0.1,0.1,0.1
23/12/2011 19:45,0,0.1,0.1,0
23/12/2011 19:50,0,0.1,0,0
23/12/2011 19:55,0,0.1,0.1,0
23/12/2011 20:00,0,0.1,0.1,0
23/12/2011 20:05,0,0.1,0.1,0
23/12/2011 20:10,0.1,0,0.1,0
23/12/2011 20:15,0.1,0.1,0.1,0
23/12/2011 20:20,0.1,0.1,0.1,0
23/12/2011 20:25,0.1,0.1,0.1,0
23/12/2011 20:30,0,0.1,0.1,0
23/12/2011 20:35,0,0.1,0.1,0
23/12/2011 20:40,0,0.1,0.1,0.1
23/12/2011 20:45,0,0.1,0.1,0
23/12/2011 20:50,0,0,0,0
23/12/2011 20:55,0,0.1,0.1,0
23/12/2011 21:00,0,0.1,0.1,0
23/12/2011 21:05,0,0.1,0.1,0
23/12/2011 21:10,0.1,0.1,0.1,0
23/12/2011 21:15,0.1,0.1,0.1,0
23/12/2011 21:20,0.1,0.1,0.1,0
23/12/2011 21:25,0.1,0.1,0.1,0
23/12/2011 21:30,0,0,0.1,0
23/12/2011 21:35,0,0.1,0.1,0.1
23/12/2011 21:40,0,0.1,0.1,0
23/12/2011 21:45,0,0.1,0.1,0
23/12/2011 21:50,0,0.1,0,0
23/12/2011 21:55,0,0.1,0.1,0
23/12/2011 22:00,0.1,0.1,0.1,0
23/12/2011 22:05,0.1,0,0.1,0
23/12/2011 22:10,0.1,0.1,0.1,0
23/12/2011 22:15,0,0.1,0.1,0
23/12/2011 22:20,0,0.1,0.1,0
23/12/2011 22:25,0,0.1,0.1,0
23/12/2011 22:30,0,0.1,0.1,0
23/12/2011 22:35,0.1,0.1,0.1,0.1
23/12/2011 22:40,0.1,0.1,0.1,0
23/12/2011 22:45,0.1,0,0.1,0
23/12/2011 22:50,0,0.1,0,0
23/12/2011 22:55,0,0.1,0.1,0
23/12/2011 23:00,0,0.1,0.1,0
23/12/2011 23:05,0.1,0.1,0.1,0
23/12/2011 23:10,0,0.1,0.1,0
23/12/2011 23:15,0,0.1,0.1,0
23/12/2011 23:20,0.1,0,0.1,0
23/12/2011 23:25,0.1,0.1,0.1,0
23/12/2011 23:30,0.1,0.1,0.1,0
23/12/2011 23:35,0,0.1,0.1,0.1
23/12/2011 23:40,0,0.1,0.1,0
23/12/2011 23:45,0,0.1,0.1,0
23/12/2011 23:50,0,0.1,0,0
23/12/2011 23:55,0,0,0.1,0
24/12/2011 0:00,0.1,0.1,0.1,0
24/12/2011 0:05,0.1,0.1,0.1,0
24/12/2011 0:10,0.1,0.1,0.1,0
24/12/2011 0:15,0,0.1,0.1,0
24/12/2011 0:20,0,0.1,0.1,0
24/12/2011 0:25,0,0.1,0.1,0
24/12/2011 0:30,0,0,0.1,0.1
24/12/2011 0:35,0.1,0.1,0.1,0
24/12/2011 0:40,0.1,0.1,0.1,0
24/12/2011 0:45,0.1,0.1,0.1,0
24/12/2011 0:50,0,0.1,0.1,0
24/12/2011 0:55,0.1,0.1,0,0
24/12/2011 1:00,0,0.1,0.1,0
24/12/2011 1:05,0,0.1,0.1,0
24/12/2011 1:10,0,0,0.1,0
24/12/2011 1:15,0.1,0.1,0.1,0
24/12/2011 1:20,0.1,0.1,0.1,0
24/12/2011 1:25,0.1,0.1,0.1,0
24/12/2011 1:30,0,0.1,0.1,0.1
24/12/2011 1:35,0,0.1,0.1,0
24/12/2011 1:40,0,0.1,0.1,0
24/12/2011 1:45,0,0,0.1,0
24/12/2011 1:50,0,0.1,0.1,0
24/12/2011 1:55,0.1,0.1,0,0
24/12/2011 2:00,0.1,0.1,0.1,0
24/12/2011 2:05,0.1,0.1,0.1,0
24/12/2011 2:10,0.1,0.1,0.1,0
24/12/2011 2:15,0,0.1,0.1,0
24/12/2011 2:20,0,0.1,0.1,0
24/12/2011 2:25,0,0,0.1,0.1
24/12/2011 2:30,0,0.1,0.1,0
24/12/2011 2:35,0.1,0.1,0.1,0
24/12/2011 2:40,0.1,0.1,0.1,0
24/12/2011 2:45,0.1,0.1,0.1,0
24/12/2011 2:50,0,0.1,0.1,0
24/12/2011 2:55,0,0.1,0,0
24/12/2011 3:00,0,0,0.1,0
24/12/2011 3:05,0,0.1,0.1,0
24/12/2011 3:10,0.1,0.1,0.1,0
24/12/2011 3:15,0.1,0.1,0.1,0
24/12/2011 3:20,0.1,0.1,0.1,0
24/12/2011 3:25,0,0.1,0.1,0.1
24/12/2011 3:30,0,0.1,0.1,0
24/12/2011 3:35,0,0,0.1,0
24/12/2011 3:40,0,0.1,0.1,0
24/12/2011 3:45,0.1,0.1,0.1,0
24/12/2011 3:50,0.1,0.1,0.1,0
24/12/2011 3:55,0.1,0.1,0,0
24/12/2011 4:00,0,0.1,0.1,0
24/12/2011 4:05,0,0.1,0.1,0
24/12/2011 4:10,0,0,0.1,0
24/12/2011 4:15,0,0.1,0.1,0
24/12/2011 4:20,0.1,0.1,0.1,0
24/12/2011 4:25,0.1,0.1,0.1,0.1
24/12/2011 4:30,0.1,0.1,0.1,0
24/12/2011 4:35,0,0.1,0.1,0
24/12/2011 4:40,0,0,0.1,0
24/12/2011 4:45,0,0.1,0.1,0
24/12/2011 4:50,0,0.1,0,0
24/12/2011 4:55,0.1,0.1,0.1,0
24/12/2011 5:00,0.1,0.1,0.1,0.1
24/12/2011 5:05,0.1,0.1,0.1,0.1
24/12/2011 5:10,0,0,0.1,0
24/12/2011 5:15,0,0.1,0.1,0
24/12/2011 5:20,0,0.1,0.1,0
24/12/2011 5:25,0.1,0.1,0.1,0
24/12/2011 5:30,0,0.1,0.1,0
24/12/2011 5:35,0,0.1,0.1,0
24/12/2011 5:40,0.1,0.1,0.1,0.1
24/12/2011 5:45,0.1,0,0,0
24/12/2011 5:50,0,0.1,0.1,0
24/12/2011 5:55,0,0.1,0.1,0
24/12/2011 6:00,0,0.1,0.1,0
24/12/2011 6:05,0,0.1,0.1,0
24/12/2011 6:10,0.1,0.1,0.1,0
24/12/2011 6:15,0,0.1,0.1,0
24/12/2011 6:20,0.1,0,0.1,0
24/12/2011 6:25,0.1,0.1,0.1,0
24/12/2011 6:30,0,0.1,0.1,0
24/12/2011 6:35,0,0.1,0.1,0.1
24/12/2011 6:40,0.1,0.1,0,0
24/12/2011 6:45,0,0.1,0.1,0
24/12/2011 6:50,0,0,0.1,0
24/12/2011 6:55,0.1,0.1,0.1,0
24/12/2011 7:00,0.1,0.1,0.1,0
24/12/2011 7:05,0,0.1,0.1,0
24/12/2011 7:10,0,0.1,0.1,0
24/12/2011 7:15,0,0.1,0.1,0
24/12/2011 7:20,0.1,0.1,0.1,0
24/12/2011 7:25,0,0,0.1,0.1
24/12/2011 7:30,0.1,0.1,0.1,0.1
24/12/2011 7:35,0.1,0.1,0,0
24/12/2011 7:40,0,0.1,0.1,0
24/12/2011 7:45,0.1,0.1,0.1,0
24/12/2011 7:50,0,0.1,0.1,0
24/12/2011 7:55,0,0,0.1,0
24/12/2011 8:00,0,0.1,0.1,0
24/12/2011 8:05,0.1,0.1,0.1,0
24/12/2011 8:10,0.1,0.1,0.1,0
24/12/2011 8:15,0.1,0.1,0.1,0.1
24/12/2011 8:20,0,0.1,0.1,0
24/12/2011 8:25,0,0.1,0.1,0
24/12/2011 8:30,0,0,0.1,0
24/12/2011 8:35,0,0.1,0,0
24/12/2011 8:40,0.1,0.1,0.1,0.1
24/12/2011 8:45,0.1,0.1,0.1,0
24/12/2011 8:50,0,0.1,0.1,0
24/12/2011 8:55,0.1,0.1,0.1,0.1
24/12/2011 9:00,0,0.1,0.1,0
24/12/2011 9:05,0,0,0.1,0
24/12/2011 9:10,0,0.1,0.1,0
24/12/2011 9:15,0.1,0.1,0.1,0
24/12/2011 9:20,0.1,0.1,0.1,0
24/12/2011 9:25,0,0.1,0.1,0
24/12/2011 9:30,0,0.1,0.1,0
24/12/2011 9:35,0,0,0,0
24/12/2011 9:40,0,0.1,0.1,0
24/12/2011 9:45,0.1,0.1,0.1,0
24/12/2011 9:50,0,0.1,0.1,0
24/12/2011 9:55,0,0.1,0.1,0.1
24/12/2011 10:00,0.1,0.1,0.1,0
24/12/2011 10:05,0,0.1,0.1,0
24/12/2011 10:10,0,0,0.1,0
24/12/2011 10:15,0.1,0.1,0.1,0
24/12/2011 10:20,0,0.1,0.1,0
24/12/2011 10:25,0,0.1,0.1,0
24/12/2011 10:30,0,0.1,0.1,0
24/12/2011 10:35,0,0.1,0,0
24/12/2011 10:40,0.1,0,0.1,0
24/12/2011 10:45,0,0.1,0.1,0
24/12/2011 10:50,0,0.1,0.1,0
24/12/2011 10:55,0.1,0.1,0.1,0.1
24/12/2011 11:00,0,0.1,0.1,0
24/12/2011 11:05,0,0.1,0.1,0
24/12/2011 11:10,0,0,0.1,0
24/12/2011 11:15,0,0.1,0.1,0
24/12/2011 11:20,0.1,0.1,0.1,0
24/12/2011 11:25,0,0.1,0,0
24/12/2011 11:30,0,0.1,0.1,0
24/12/2011 11:35,0,0.1,0.1,0
24/12/2011 11:40,0,0.1,0.1,0
24/12/2011 11:45,0,0,0.1,0
24/12/2011 11:50,0.1,0.1,0.1,0
24/12/2011 11:55,0,0.1,0.1,0.1
24/12/2011 12:00,0,0.1,0.1,0
24/12/2011 12:05,0,0.1,0.1,0
24/12/2011 12:10,0,0.1,0.1,0
24/12/2011 12:15,0,0.1,0,0
24/12/2011 12:20,0,0,0.1,0
24/12/2011 12:25,0,0.1,0.1,0
24/12/2011 12:30,0,0.1,0.1,0
24/12/2011 12:35,0,0.1,0.1,0
24/12/2011 12:40,0.1,0.1,0.1,0
24/12/2011 12:45,0,0.1,0.1,0
24/12/2011 12:50,0,0.1,0.1,0.1
24/12/2011 12:55,0,0,0.1,0
24/12/2011 13:00,0,0.1,0.1,0
24/12/2011 13:05,0,0.1,0.1,0
24/12/2011 13:10,0,0.1,0,0
24/12/2011 13:15,0,0.1,0.1,0
24/12/2011 13:20,0,0.1,0.1,0
24/12/2011 13:25,0.1,0.1,0.1,0
24/12/2011 13:30,0,0,0.1,0
24/12/2011 13:35,0,0.1,0.1,0
24/12/2011 13:40,0,0.1,0.1,0
24/12/2011 13:45,0,0.1,0.1,0
24/12/2011 13:50,0,0.1,0.1,0.1
24/12/2011 13:55,0,0.1,0.1,0
24/12/2011 14:00,0,0.1,0,0
24/12/2011 14:05,0,0,0.1,0
24/12/2011 14:10,0,0.1,0.1,0
24/12/2011 14:15,0.1,0.1,0.1,0
24/12/2011 14:20,0,0.1,0.1,0
24/12/2011 14:25,0,0.1,0.1,0
24/12/2011 14:30,0,0.1,0.1,0
24/12/2011 14:35,0,0.1,0.1,0
24/12/2011 14:40,0,0,0.1,0
24/12/2011 14:45,0,0.1,0.1,0.1
24/12/2011 14:50,0,0.1,0,0
24/12/2011 14:55,0,0.1,0.1,0
24/12/2011 15:00,0.1,0.1,0.1,0
24/12/2011 15:05,0,0.1,0.1,0
24/12/2011 15:10,0,0.1,0.1,0
24/12/2011 15:15,0,0.1,0.1,0
24/12/2011 15:20,0,0,0.1,0
24/12/2011 15:25,0,0.1,0.1,0
24/12/2011 15:30,0,0.1,0.1,0
24/12/2011 15:35,0,0.1,0.1,0
24/12/2011 15:40,0,0.1,0,0
24/12/2011 15:45,0,0.1,0.1,0.1
24/12/2011 15:50,0.1,0.1,0.1,0
24/12/2011 15:55,0,0,0.1,0
24/12/2011 16:00,0.1,0.1,0.1,0
24/12/2011 16:05,0,0.1,0.1,0
24/12/2011 16:10,0,0.1,0.1,0
24/12/2011 16:15,0,0.1,0.1,0
24/12/2011 16:20,0,0.1,0.1,0
24/12/2011 16:25,0.1,0.1,0.1,0
24/12/2011 16:30,0.1,0,0,0
24/12/2011 16:35,0,0.1,0.1,0
24/12/2011 16:40,0,0.1,0.1,0
24/12/2011 16:45,0,0.1,0.1,0.1
24/12/2011 16:50,0,0.1,0.1,0
24/12/2011 16:55,0.1,0.1,0.1,0
24/12/2011 17:00,0.1,0.1,0.1,0
24/12/2011 17:05,0,0,0.1,0
24/12/2011 17:10,0,0.1,0.1,0
24/12/2011 17:15,0,0.1,0.1,0
24/12/2011 17:20,0.1,0.1,0,0
24/12/2011 17:25,0.1,0.1,0.1,0
24/12/2011 17:30,0,0.1,0.1,0
24/12/2011 17:35,0,0.1,0.1,0
24/12/2011 17:40,0,0,0.1,0.1
24/12/2011 17:45,0,0.1,0.1,0
24/12/2011 17:50,0.1,0.1,0.1,0
24/12/2011 17:55,0.1,0.1,0.1,0
24/12/2011 18:00,0,0.1,0.1,0
24/12/2011 18:05,0,0.1,0.1,0
24/12/2011 18:10,0,0,0,0
24/12/2011 18:15,0,0.1,0.1,0
24/12/2011 18:20,0.1,0.1,0.1,0
24/12/2011 18:25,0.1,0.1,0.1,0
24/12/2011 18:30,0,0.1,0.1,0
24/12/2011 18:35,0,0.1,0.1,0
24/12/2011 18:40,0,0.1,0.1,0.1
24/12/2011 18:45,0.1,0,0.1,0
24/12/2011 18:50,0,0.1,0.1,0
24/12/2011 18:55,0.1,0.1,0.1,0
24/12/2011 19:00,0.1,0.1,0,0
24/12/2011 19:05,0,0.1,0.1,0
24/12/2011 19:10,0,0.1,0.1,0
24/12/2011 19:15,0,0.1,0.1,0
24/12/2011 19:20,0,0,0.1,0
24/12/2011 19:25,0,0.1,0.1,0
24/12/2011 19:30,0.2,0.1,0.1,0
24/12/2011 19:35,0,0.1,0.1,0
24/12/2011 19:40,0,0.1,0.1,0.1
24/12/2011 19:45,0,0.1,0.1,0
24/12/2011 19:50,0.1,0.1,0.1,0
24/12/2011 19:55,0,0,0,0
24/12/2011 20:00,0,0.1,0.1,0
24/12/2011 20:05,0.1,0.1,0.1,0
24/12/2011 20:10,0.1,0.1,0.1,0
24/12/2011 20:15,0,0.1,0.1,0
24/12/2011 20:20,0,0.1,0.1,0
24/12/2011 20:25,0,0.1,0.1,0
24/12/2011 20:30,0,0.1,0.1,0
24/12/2011 20:35,0,0,0.1,0.1
24/12/2011 20:40,0.1,0.1,0.1,0
24/12/2011 20:45,0.1,0.1,0.1,0
24/12/2011 20:50,0.1,0.1,0,0
24/12/2011 20:55,0,0.1,0.1,0
24/12/2011 21:00,0,0.1,0.1,0
24/12/2011 21:05,0,0.1,0.1,0
24/12/2011 21:10,0,0,0.1,0
24/12/2011 21:15,0.1,0.1,0.1,0
24/12/2011 21:20,0.1,0.1,0.1,0
24/12/2011 21:25,0,0.1,0.1,0
24/12/2011 21:30,0.1,0.1,0.1,0
24/12/2011 21:35,0,0.1,0.1,0.1
24/12/2011 21:40,0,0.1,0.1,0
24/12/2011 21:45,0,0.1,0,0
24/12/2011 21:50,0,0,0.1,0
24/12/2011 21:55,0.1,0.1,0.1,0
24/12/2011 22:00,0.1,0.1,0.1,0
24/12/2011 22:05,0,0.1,0.1,0
24/12/2011 22:10,0,0.1,0.1,0
24/12/2011 22:15,0.1,0.1,0.1,0
24/12/2011 22:20,0,0,0.1,0
24/12/2011 22:25,0,0.1,0.1,0
24/12/2011 22:30,0.1,0.1,0.1,0.1
24/12/2011 22:35,0.1,0.1,0,0
24/12/2011 22:40,0,0.1,0.1,0
24/12/2011 22:45,0,0.1,0.1,0
24/12/2011 22:50,0,0.1,0.1,0
24/12/2011 22:55,0,0,0.1,0
24/12/2011 23:00,0.1,0.1,0.1,0
24/12/2011 23:05,0.1,0.1,0.1,0
24/12/2011 23:10,0.1,0.1,0.1,0
24/12/2011 23:15,0,0.1,0.1,0
24/12/2011 23:20,0,0.1,0.1,0
24/12/2011 23:25,0,0.1,0.1,0
24/12/2011 23:30,0,0.1,0,0.1
24/12/2011 23:35,0.1,0,0.1,0
24/12/2011 23:40,0.1,0.1,0.1,0
24/12/2011 23:45,0.1,0.1,0.1,0.1
24/12/2011 23:50,0,0.1,0.1,0
24/12/2011 23:55,0,0.1,0.1,0
25/12/2011 0:00,0,0.1,0.1,0
25/12/2011 0:05,0,0.1,0.1,0
25/12/2011 0:10,0,0,0.1,0
25/12/2011 0:15,0.1,0.1,0.1,0.1
25/12/2011 0:20,0.1,0.1,0.1,0
25/12/2011 0:25,0.1,0.1,0,0
25/12/2011 0:30,0,0.1,0.1,0
25/12/2011 0:35,0,0.1,0.1,0
25/12/2011 0:40,0,0.1,0.1,0
25/12/2011 0:45,0.1,0.1,0.1,0
25/12/2011 0:50,0,0,0.1,0
25/12/2011 0:55,0.1,0.1,0.1,0
25/12/2011 1:00,0.1,0.1,0.1,0
25/12/2011 1:05,0,0.1,0.1,0
25/12/2011 1:10,0,0.1,0.1,0.1
25/12/2011 1:15,0.1,0.1,0.1,0
25/12/2011 1:20,0,0,0,0
25/12/2011 1:25,0,0.1,0.1,0
25/12/2011 1:30,0,0.1,0.1,0
25/12/2011 1:35,0.1,0.1,0.1,0
25/12/2011 1:40,0.1,0.1,0.1,0
25/12/2011 1:45,0.1,0.1,0.1,0
25/12/2011 1:50,0,0.1,0.1,0
25/12/2011 1:55,0,0,0.1,0
25/12/2011 2:00,0,0.1,0.1,0
25/12/2011 2:05,0,0.1,0.1,0
25/12/2011 2:10,0.1,0.1,0,0.1
25/12/2011 2:15,0.1,0.1,0.1,0.1
25/12/2011 2:20,0.1,0.1,0.1,0
25/12/2011 2:25,0,0.1,0.1,0
25/12/2011 2:30,0,0,0.1,0
25/12/2011 2:35,0,0.1,0.1,0
25/12/2011 2:40,0,0.1,0.1,0
25/12/2011 2:45,0,0.1,0.1,0
25/12/2011 2:50,0.1,0.1,0.1,0
25/12/2011 2:55,0.1,0.1,0.1,0
25/12/2011 3:00,0.1,0.1,0,0.1
25/12/2011 3:05,0,0,0.1,0
